id,book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url
1460,24,24,2611786,76,767903862,9780000000000.0,Bill Bryson,2000.0,Down Under,In a Sunburned Country,eng,2.82,25,0,0,0,2214,12998,28184,22665,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1976,25,25,3419048,69,076790382X,9780000000000.0,Bill Bryson,1998.0,Notes from a Big Country,I'm a Stranger Here Myself: Notes on Returning to America after Twenty Years Away,en-US,3.05,30,0,0,0,2332,12624,20065,13808,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2321,26,26,1888943,47,60920084,9780000000000.0,Bill Bryson,1989.0,The Lost Continent: Travels in Small-Town America,The Lost Continent: Travels in Small Town America,en-US,2.625,32,0,0,0,2653,10395,16124,11930,https://images.gr-assets.com/books/1404042682m/26.jpg,https://images.gr-assets.com/books/1404042682s/26.jpg
2279,27,27,3164459,57,380713802,9780000000000.0,Bill Bryson,1991.0,Neither Here Nor There: Travels in Europe,Neither Here nor There: Travels in Europe,en-US,3.04167,24,0,0,0,2545,11191,17477,13303,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1449,28,28,940892,63,380727501,9780000000000.0,Bill Bryson,1995.0,Notes from a Small Island,Notes from a Small Island,eng,2.63235,34,0,0,0,3717,17241,29024,21366,https://images.gr-assets.com/books/1479653223m/28.jpg,https://images.gr-assets.com/books/1479653223s/28.jpg
4079,29,29,2170063,28,380715430,9780000000000.0,Bill Bryson,1990.0,The Mother Tongue: English and How It Got That Way,The Mother Tongue: English and How It Got That Way,en-US,2.44286,35,0,0,0,1280,6050,10985,8303,https://images.gr-assets.com/books/1388209925m/29.jpg,https://images.gr-assets.com/books/1388209925s/29.jpg
964,30,30,89369,74,345538374,9780000000000.0,J.R.R. Tolkien,1973.0,The Hobbit and The Lord of the Rings,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,eng,2.93421,38,0,0,0,1281,5819,19982,66440,https://images.gr-assets.com/books/1346072396m/30.jpg,https://images.gr-assets.com/books/1346072396s/30.jpg
189,33,33,3462456,380,618640150,9780000000000.0,J.R.R. Tolkien,1955.0,The Lord of the Rings,"The Lord of the Rings (The Lord of the Rings, #1-3)",eng,2.87879,33,0,0,0,9577,37552,106818,277592,https://images.gr-assets.com/books/1411114164m/33.jpg,https://images.gr-assets.com/books/1411114164s/33.jpg
19,34,34,3204327,566,618346252,9780000000000.0,J.R.R. Tolkien,1954.0, The Fellowship of the Ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng,2.95652,23,0,0,0,55862,202332,493922,1042394,https://images.gr-assets.com/books/1298411339m/34.jpg,https://images.gr-assets.com/books/1298411339s/34.jpg
4229,36,36,4414,12,618391002,9780000000000.0,"Chris   Smith, Christopher Lee, Richard Taylor",,The Lord of the Rings: Weapons and Warfare,The Lord of the Rings: Weapons and Warfare,eng,2.85,30,0,0,0,282,1556,3743,13033,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
388,50,50,1158125,93,689840926,9780000000000.0,Gary Paulsen,1986.0,Hatchet,"Hatchet (Brian's Saga, #1)",en-US,3.23077,26,0,0,0,22390,59179,73180,65144,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
3504,67,67,1062798,42,61159174,9780000000000.0,Edward P. Jones,2003.0,The Known World,The Known World,eng,2.80769,39,0,0,0,2186,6907,11005,8530,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
639,93,93,1738595,771,753454947,9780000000000.0,"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",1880.0,Heidi,Heidi,eng,2.90476,21,0,0,0,8362,37291,50838,55942,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7683,98,98,4462,45,761129588,9780000000000.0,"Heidi Murkoff, Sharon Mazel, Heidi Murkoff, Arlene Eisenberg, Sandee Hathaway, Mark D. Widome",1989.0,What to Expect the First Year,What to Expect the First Year (What to Expect),eng,3.09259,27,0,0,0,816,3301,4586,4185,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2817,105,105,3634569,72,441102670,9780000000000.0,Frank Herbert,1985.0,Chapterhouse: Dune,Chapterhouse: Dune (Dune Chronicles #6),eng,2.75,22,0,0,0,2612,9170,12496,12201,https://images.gr-assets.com/books/1260954505m/105.jpg,https://images.gr-assets.com/books/1260954505s/105.jpg
1105,106,106,3634570,140,441172695,9780000000000.0,Frank Herbert,1969.0,Dune Messiah ,Dune Messiah (Dune Chronicles #2),eng,3.20513,39,0,0,0,5333,23541,36242,24290,https://images.gr-assets.com/books/1392528394m/106.jpg,https://images.gr-assets.com/books/1392528394s/106.jpg
1262,112,112,3634573,116,441104029,9780000000000.0,Frank Herbert,1976.0,Children of Dune,Children of Dune (Dune Chronicles #3),eng,2.68519,27,0,0,0,4425,20138,30723,23589,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2491,117,117,3634575,86,441328008,9780000000000.0,Frank Herbert,1984.0,Heretics of Dune,Heretics of Dune (Dune Chronicles #5),eng,2.59756,41,0,0,0,3037,11673,15212,12732,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
3230,119,119,4479,7,618212906,9780000000000.0,Gary Russell,2002.0,The Lord of the Rings: The Art of The Fellowship of the Ring,The Lord of the Rings: The Art of The Fellowship of the Ring,en-US,2.61765,34,0,0,0,220,1751,5011,17219,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1597,122,122,649656,82,034541005X,9780000000000.0,Bryce Courtenay,1989.0,The Power of One,"The Power of One (The Power of One, #1)",eng,2.77586,29,0,0,0,1628,6814,18645,32790,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
4081,231,231,1005335,53,312424442,9780000000000.0,Tom Wolfe,2004.0,,I am Charlotte Simmons,en-US,2.51282,39,0,0,0,2886,6557,6890,3766,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1999,249,249,543143,205,802131786,9780000000000.0,Henry Miller,1934.0,Tropic of Cancer,Tropic of Cancer,eng,2.58108,37,0,0,0,4591,12278,16494,14025,https://images.gr-assets.com/books/1408753140m/249.jpg,https://images.gr-assets.com/books/1408753140s/249.jpg
6787,250,250,1190908,111,802151825,9780000000000.0,Henry Miller,1938.0,Tropic of Capricorn,Tropic of Capricorn,eng,2.62,25,0,0,0,939,3153,5005,4038,https://images.gr-assets.com/books/1417652073m/250.jpg,https://images.gr-assets.com/books/1417652073s/250.jpg
1783,264,264,1434368,508,141439637,9780000000000.0,"Henry James, Patricia Crick",1881.0,The Portrait of a Lady,The Portrait of a Lady,eng,3.06098,41,0,0,0,4908,15386,20335,16753,https://images.gr-assets.com/books/1502148606m/264.jpg,https://images.gr-assets.com/books/1502148606s/264.jpg
4602,275,275,1009849,148,375700528,9780000000000.0,"Marguerite Duras, Barbara Bray, Maxine Hong Kingston",1984.0,L'Amant,The Lover,eng,2.9375,32,0,0,0,2197,6541,8632,6831,https://images.gr-assets.com/books/1423329337m/275.jpg,https://images.gr-assets.com/books/1423329337s/275.jpg
7242,291,291,1676536,119,806501901,9780000000000.0,"Kahlil Gibran, Anthony R. Ferris",1912.0,الأجنحة المتكسرة,The Broken Wings,eng,3.15909,44,0,0,0,792,2796,4251,4324,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
293,295,295,3077988,2573,753453800,9780000000000.0,Robert Louis Stevenson,1882.0,Treasure Island,Treasure Island,eng,2.97561,41,0,0,0,19127,86487,114968,84584,https://images.gr-assets.com/books/1485248909m/295.jpg,https://images.gr-assets.com/books/1485248909s/295.jpg
5915,304,304,313957,243,037576013X,9780000000000.0,"George Eliot, Edmund White",1876.0,Daniel Deronda,Daniel Deronda,eng,2.91379,29,0,0,0,1361,4705,6835,5701,https://images.gr-assets.com/books/1320432000m/304.jpg,https://images.gr-assets.com/books/1320432000s/304.jpg
94,320,320,3295655,555,60531045,9780000000000.0,"Gabriel García Márquez, Gregory Rabassa",1967.0,Cien años de soledad,One Hundred Years of Solitude,eng,2.95588,34,0,0,0,37646,87675,155809,267197,https://images.gr-assets.com/books/1327881361m/320.jpg,https://images.gr-assets.com/books/1327881361s/320.jpg
397,343,343,2977727,364,140120831,9780000000000.0,"Patrick Süskind, John E. Woods",1985.0,Das Parfum. Die Geschichte eines Mörders,Perfume: The Story of a Murderer,eng,2.66667,33,0,0,0,12862,41804,78658,83771,https://images.gr-assets.com/books/1409112276m/343.jpg,https://images.gr-assets.com/books/1409112276s/343.jpg
6123,348,348,2055615,75,345413997,9780000000000.0,Robert A. Heinlein,1957.0,The Door into Summer,The Door Into Summer,eng,3.11667,30,0,0,0,745,4180,6964,6007,https://images.gr-assets.com/books/1342241886m/348.jpg,https://images.gr-assets.com/books/1342241886s/348.jpg
371,350,350,908211,130,441788386,9780000000000.0,Robert A. Heinlein,1961.0,Stranger in a Strange Land,Stranger in a Strange Land,eng,3.01786,28,0,0,0,16204,45343,69937,87322,https://images.gr-assets.com/books/1156897088m/350.jpg,https://images.gr-assets.com/books/1156897088s/350.jpg
4034,353,353,75443,53,,,Robert A. Heinlein,1973.0,Time Enough for Love,Time Enough for Love,eng,2.8,25,0,0,0,1766,5936,8866,10251,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7904,355,355,924656,32,345316509,9780000000000.0,Robert A. Heinlein,1984.0,Job: A Comedy of Justice,Job: A Comedy of Justice,en-US,2.35484,31,0,0,0,1295,4031,4962,4264,https://images.gr-assets.com/books/1438043968m/355.jpg,https://images.gr-assets.com/books/1438043968s/355.jpg
1727,357,357,1096,82,671742515,9780000000000.0,Douglas Adams,1988.0,The Long Dark Tea-Time of the Soul,"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",en-US,2.29167,24,0,0,0,2464,13614,24400,22898,https://images.gr-assets.com/books/1388257271m/357.jpg,https://images.gr-assets.com/books/1388257271s/357.jpg
5072,359,359,809325,55,345455290,9780000000000.0,Douglas Adams,2002.0,The Salmon of Doubt: Hitchhiking the Galaxy One Last Time,"The Salmon of Doubt (Dirk Gently, #3)",eng,2.71212,33,0,0,0,1163,5791,8425,6852,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1332,360,569429,2842984,107,345418778,9780000000000.0,Douglas Adams,1992.0,Mostly Harmless,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",en-US,2.53947,38,0,0,0,4729,20017,28884,28938,https://images.gr-assets.com/books/1320725132m/360.jpg,https://images.gr-assets.com/books/1320725132s/360.jpg
1042,365,365,1042123,83,671746723,9780000000000.0,Douglas Adams,1987.0,Dirk Gently's Holistic Detective Agency,Dirk Gently's Holistic Detective Agency (Dirk Gently #1),en-US,2.45122,41,0,0,0,4735,22168,36270,32064,https://images.gr-assets.com/books/1404697381m/365.jpg,https://images.gr-assets.com/books/1404697381s/365.jpg
561,378,378,1782584,82,394820371,9780000000000.0,"Norton Juster, Jules Feiffer",1961.0,The Phantom Tollbooth,The Phantom Tollbooth,en-US,3.04688,32,0,0,0,6922,27918,56237,91467,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
9759,386,386,3328037,22,393329402,9780000000000.0,Nick Flynn,2004.0,Another Bullshit Night in Suck City: A Memoir,Another Bullshit Night in Suck City,eng,3.0,39,0,0,0,718,2302,3340,2382,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
9232,400,400,1011400,65,140156046,9780000000000.0,Don DeLillo,1988.0,Libra ,Libra,eng,3.18571,35,0,0,0,534,2312,4740,3600,https://images.gr-assets.com/books/1327935630m/400.jpg,https://images.gr-assets.com/books/1327935630s/400.jpg
3581,415,415,866393,66,143039946,9780000000000.0,Thomas Pynchon,1973.0,Gravity's Rainbow,Gravity's Rainbow,eng,3.41071,28,0,0,0,1916,4066,7569,13216,https://images.gr-assets.com/books/1414969925m/415.jpg,https://images.gr-assets.com/books/1414969925s/415.jpg
5146,424,424,1844,34,374521727,9780000000000.0,Joan Didion,1968.0,Slouching Towards Bethlehem: Essays,Slouching Towards Bethlehem,,2.93548,31,0,0,0,558,2866,7513,9265,https://images.gr-assets.com/books/1327952074m/424.jpg,https://images.gr-assets.com/books/1327952074s/424.jpg
5315,428,428,4703,35,374529949,9780000000000.0,"Joan Didion, David Thomson",1970.0,Play It as It Lays,Play It as It Lays,eng,2.58621,29,0,0,0,1263,4385,7114,5364,https://images.gr-assets.com/books/1327935636m/428.jpg,https://images.gr-assets.com/books/1327935636s/428.jpg
2337,431,431,2343071,102,143039830,9780000000000.0,"Paul Auster, Art Spiegelman",1987.0,The New York Trilogy,The New York Trilogy,eng,3.16,25,0,0,0,2663,9082,17098,13315,https://images.gr-assets.com/books/1386924429m/431.jpg,https://images.gr-assets.com/books/1386924429s/431.jpg
8588,432,432,2434710,25,140097317,9780000000000.0,Paul Auster,1985.0,City of Glass,"City of Glass (The New York Trilogy, #1)",eng,2.45161,31,0,0,0,853,2758,4320,3015,https://images.gr-assets.com/books/1309986722m/432.jpg,https://images.gr-assets.com/books/1309986722s/432.jpg
5150,446,446,1991577,66,312426232,9780000000000.0,Paul Auster,2005.0,The Brooklyn Follies,The Brooklyn Follies,eng,2.5,33,0,0,0,1057,4746,8145,4161,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
6844,447,447,168560,54,140115854,9780000000000.0,Paul Auster,1989.0,Moon Palace,Moon Palace,eng,2.47619,21,0,0,0,674,3044,6009,4676,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
9905,449,449,1344597,45,312263996,9780000000000.0,Paul Auster,1999.0,Timbuktu,Timbuktu,eng,3.09091,22,0,0,0,916,2828,3502,2102,https://images.gr-assets.com/books/1355142497m/449.jpg,https://images.gr-assets.com/books/1355142497s/449.jpg
7462,456,456,1128381,50,140178139,9780000000000.0,Paul Auster,1992.0,Leviathan,Leviathan,eng,2.65909,22,0,0,0,490,2684,5165,3350,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1969,475,475,1041106,70,143036556,9780000000000.0,Jared Diamond,2004.0,Collapse: How Societies Chose to Fail or Succeed,Collapse: How Societies Choose to Fail or Succeed,en-GB,3.04839,31,0,0,0,2395,10680,19285,13886,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
3598,597,597,2226163,25,743264460,9780000000000.0,Chuck Klosterman,2005.0,Killing Yourself to Live: 85% of a True Story,Killing Yourself to Live: 85% of a True Story,en-US,2.81034,29,0,0,0,1414,5826,9442,6475,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1392,599,599,929649,16,743236017,9780000000000.0,Chuck Klosterman,2003.0,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto","Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",en-US,2.78125,32,0,0,0,4741,14755,21605,15010,https://images.gr-assets.com/books/1380742001m/599.jpg,https://images.gr-assets.com/books/1380742001s/599.jpg
8934,621,621,806311,27,767923820,9780000000000.0,David Bach,2003.0,The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich,The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich,,2.96667,30,0,0,0,664,2680,3567,3554,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
546,629,629,175720,181,60589469,9780000000000.0,Robert M. Pirsig,1974.0,Zen and the Art of Motorcycle Maintenance,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,eng,3.01852,27,0,0,0,14196,36227,49874,47106,https://images.gr-assets.com/books/1410136019m/629.jpg,https://images.gr-assets.com/books/1410136019s/629.jpg
5120,647,647,621375,73,312421435,9780000000000.0,Naomi Klein,1999.0,No Logo,No Logo,en-US,2.62903,31,0,0,0,1279,4865,8205,5870,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
498,656,656,4912783,1017,192833987,9780000000000.0,"Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude",1869.0,Война и миръ,War and Peace,eng,2.46154,39,0,0,0,9691,31876,60043,86430,https://images.gr-assets.com/books/1413215930m/656.jpg,https://images.gr-assets.com/books/1413215930s/656.jpg
255,662,662,817219,147,452011876,9780000000000.0,"Ayn Rand, Leonard Peikoff",1957.0,Atlas Shrugged,Atlas Shrugged,eng,2.95833,24,0,0,0,27442,53762,78744,105796,https://images.gr-assets.com/books/1405868167m/662.jpg,https://images.gr-assets.com/books/1405868167s/662.jpg
8688,665,665,443285,53,451163931,9780000000000.0,"Ayn Rand, Nathaniel Branden",1961.0,The Virtue of Selfishness: A New Concept of Egoism,The Virtue of Selfishness: A New Concept of Egoism,eng,3.25,30,0,0,0,1071,2463,2837,2974,https://images.gr-assets.com/books/1425001997m/665.jpg,https://images.gr-assets.com/books/1425001997s/665.jpg
903,667,667,287946,460,452281253,9780000000000.0,Ayn Rand,1938.0,Anthem,Anthem,eng,2.16667,18,0,0,0,10982,27984,34074,27631,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
4298,668,668,1711534,63,451187849,9780000000000.0,"Ayn Rand, Leonard Peikoff",1936.0,We the Living,We the Living,eng,2.81429,35,0,0,0,1531,5121,7689,7583,https://images.gr-assets.com/books/1306188481m/668.jpg,https://images.gr-assets.com/books/1306188481s/668.jpg
8492,676,676,752463,10,375755195,9780000000000.0,Billy Collins,2001.0,Sailing Alone Around the Room: New and Selected Poems,Sailing Alone Around the Room: New and Selected Poems,eng,2.86,25,0,0,0,352,1423,3853,5413,https://images.gr-assets.com/books/1403183272m/676.jpg,https://images.gr-assets.com/books/1403183272s/676.jpg
6870,698,698,3140490,51,307263940,9780000000000.0,Anne Tyler,2006.0,Digging to America,Digging to America,eng,3.22222,36,0,0,0,1589,6406,6627,2348,https://images.gr-assets.com/books/1327901292m/698.jpg,https://images.gr-assets.com/books/1327901292s/698.jpg
3560,703,703,911456,76,1400079497,9780000000000.0,Philip Roth,2004.0,The Plot Against America,The Plot Against America,eng,2.54878,41,0,0,0,2295,8049,12301,5926,https://images.gr-assets.com/books/1327711853m/703.jpg,https://images.gr-assets.com/books/1327711853s/703.jpg
1096,706,706,1589081,20,713998946,9780000000000.0,"Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms",2004.0,America (The Book): A Citizen's Guide to Democracy Inaction,America (The Book): A Citizen's Guide to Democracy Inaction,eng,2.81481,27,0,0,0,3011,16474,31432,27566,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1853,760,760,2166510,165,307278492,9780000000000.0,"Gabriel García Márquez, Edith Grossman",2004.0,Memoria de mis putas tristes,Memories of My Melancholy Whores,eng,2.47143,35,0,0,0,4851,16568,17933,9554,https://images.gr-assets.com/books/1327484658m/760.jpg,https://images.gr-assets.com/books/1327484658s/760.jpg
1224,771,8049273,907243,75,375708111,9780000000000.0,Brian Greene,1999.0,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory","The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",en-US,2.57143,14,0,0,0,2773,12304,26557,26414,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1142,816,816,1166797,3,60512806,9780000000000.0,Neal Stephenson,1999.0,Cryptonomicon,Cryptonomicon,eng,2.88571,35,0,0,0,2983,10487,26399,40317,https://images.gr-assets.com/books/1327931476m/816.jpg,https://images.gr-assets.com/books/1327931476s/816.jpg
5306,822,822,934263,35,60733357,9780000000000.0,Neal Stephenson,2004.0,The Confusion,"The Confusion (The Baroque Cycle, #2)",en-US,2.68919,37,0,0,0,580,2647,6995,8809,https://images.gr-assets.com/books/1407706997m/822.jpg,https://images.gr-assets.com/books/1407706997s/822.jpg
3314,823,823,1610031,36,60593083,9780000000000.0,Neal Stephenson,2003.0,Quicksilver,"Quicksilver (The Baroque Cycle, #1)",en-US,2.66176,34,0,0,0,2281,5852,10667,10892,https://images.gr-assets.com/books/1377095669m/823.jpg,https://images.gr-assets.com/books/1377095669s/823.jpg
